Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD4010502, AVD40105, 餐补, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010503, AVD40105, 工资涨幅比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010504, AVD40105, PM Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010505, AVD40105, Overtime Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010506, AVD40105, 销售人员奖金比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010507, AVD40105, 外企服务费_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010508, AVD40105, 外企服务费_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40106, AVD401, 高管房租补贴, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40107, AVD401, 高管商业保险, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD402, AVD4, 折旧费用工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40201, AVD402, US GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40202, AVD402, US GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40203, AVD402, PRC GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40204, AVD402, PRC GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40205, AVD402, Dpr分摊科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4020501, AVD40205, 员工类折旧分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4020502, AVD40205, 是否参与员工折旧分摊, false, store, false, , , , YorN, enumeration, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4020503, AVD40205, 参与折旧分摊的人数, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
