Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH30103, ASH3010, 期末兼职可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH302, ASH3, 期末到岗, false, store, false, , , , , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
ASH30201, ASH302, 期末全职到岗, false, store, false, , , AFN50201, , non-currency, saved assumption, balance, none, none, non-expense, Plan1, true, +
ASH30202, ASH302, 期末兼职到岗, false, store, false, , , AFN50202, , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
ASH303, ASH3, 新增到岗, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH30301, ASH303, 新增全职到岗, false, store, false, , , AFN50301, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH30302, ASH303, 新增兼职到岗, false, store, false, , , AFN50302, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4, Account, 辅助编制科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH401, ASH4, 人员费用工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40101, ASH401, 月度到岗比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40102, ASH401, Special说明, false, store, false, , , , , text, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40103, ASH401, 基本工资合计, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010301, ASH40103, 基本工资_员工, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH401030101, ASH4010301, 基本工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH401030102, ASH4010301, 基本工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4010302, ASH40103, 高管工资, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH40104, ASH401, 奖金合计, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010401, ASH40104, 奖金_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4010402, ASH40104, 高管奖金, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH40105, ASH401, Assumption, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010501, ASH40105, 平均工资, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH401050101, ASH4010501, 平均工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH401050102, ASH4010501, 平均工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4010502, ASH40105, 餐补, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010503, ASH40105, 工资涨幅比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010504, ASH40105, PM Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010505, ASH40105, Overtime Rate, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010506, ASH40105, 销售人员奖金比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4010507, ASH40105, 外企服务费_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4010508, ASH40105, 外企服务费_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH40106, ASH401, 高管房租补贴, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40107, ASH401, 高管商业保险, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH402, ASH4, 折旧费用工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40201, ASH402, US GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40202, ASH402, US GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40203, ASH402, PRC GAAP折旧年限, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40204, ASH402, PRC GAAP残值率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40205, ASH402, Dpr分摊科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020501, ASH40205, Server折旧分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020502, ASH40205, 员工类折旧分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020503, ASH40205, 是否参与员工折旧分摊, false, store, false, , , , YorN, enumeration, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020504, ASH40205, 参与折旧分摊的人数, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020505, ASH40205, Network Equipment折旧分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020506, ASH40205, Building折旧板块分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4020507, ASH40205, 板块参与building分摊人数, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
